year,value
Andhra Pr.,793186
Arunachal Pr.,22432
Assam,288691
Bihar,484740
Chattisgarh,284194
Goa,70494
Gujarat,1328068
Harayana,649592
Himachal Pr.,140613
J&K,137427
Jharkand,276243
Karnataka,1350257
Kerala,701577
Madhya Pr.,728242
Maharastra,2411600
Manipur,23835
Meghalaya,30790
Mizoram,19329
Nagaland,24492
Odisha,434769
Punjab,478636
Rajasthan,835170
Sikkim,23495
Tamil Nadu,1461841
Telangana,753127
Tripura,44219
Uttar Pradesh,222836
Uttarkhand,999585
West Bengal,7871
Chandigarh,38760
Delhi,690098
Puducherry,32962






















