Andhra Pr.,684416
Arunachal Pr.,19845
Assam,254382
Bihar,422316
Chattisgarh,254722
Goa,63460
Gujarat,1167156
Harayana,561610
Himachal Pr.,125634
J&K,125379
Jharkand,236250
Karnataka,1209136
Kerala,634886
Madhya Pr.,648849
Maharastra,2188532
Manipur,21294
Meghalaya,27439
Mizoram,17192
Nagaland,21722
Odisha,393562
Punjab,426988
Rajasthan ,760750
Sikkim,20687
Tamil Nadu,1302639
Telangana,658325
Tripura,39479
Uttar Pradesh,1290289
Uttarkhand,195125
West Bengal,872527
A & N islands,6836
Chandigarh,32734
Delhi,615605
Puducherry,29573
