group,var1,var2
Andhra Pr.,793186,684416
Arunachal Pr.,22432,19845
Assam,288691,254382
Bihar,484740,422316
Chattisgarh,284194,254722
Goa,70494,63460
Gujarat,1328068,1167156
Harayana,649592,561610
Himachal Pr.,140613,125634
J&K,137427,125379
Jharkand,276243,236250
Karnataka,1350257,1209136
Kerala,701577,634886
Madhya Pr.,728242,648849
Maharastra,2411600,2188532
Manipur,23835,21294
Meghalaya,30790,27439
Mizoram,19329,17192
Nagaland,24492,21722
Odisha,434769,393562
Punjab,478636,426988
Rajasthan ,835170,760750
Sikkim,23495,20687
Tamil Nadu,1461841,1302639
Telangana,753127,658325
Tripura,44219,39479
Uttar Pradesh,222836,1290289
Uttarkhand,999585,195125
West Bengal,7871,872527
Chandigarh,38760,6836
Delhi,690098,615605
Puducherry,32962,29573
India,17098304,15391669
